scores 2023-06-07,profits 2023-06-07,percentage 2023-06-07
-0.0705,-0.048,-0.478
0.2042,0.018,0.176
-0.0405,-0.002,-0.024
0.0,-0.028,-0.284
0.0,0.047,0.469
0.1273,-0.03,-0.297
0.0665,-0.03,-0.296
-0.1645,0.026,0.264
0.1791,-0.148,-1.482
0.0722,0.016,0.162
0.1216,0.024,0.242
0.0764,-0.044,-0.438
0.2645,0.007,0.069
0.0147,0.048,0.477
0.1021,0.01,0.098
0.1837,-0.057,-0.572
0.1888,0.023,0.229
0.1976,0.026,0.26
0.1366,-0.015,-0.149
0.118,-0.174,-1.736
0.2722,0.077,0.768
0.2107,-0.037,-0.366
0.2571,-0.015,-0.155
0.131,0.0,0.0
0.0351,0.017,0.169
0.1474,0.0,0.0
0.0127,0.0,0.0
0.2092,-0.023,-0.225
0.0853,-0.006,-0.056
0.0872,0.045,0.445
0.2271,0.032,0.317
0.2548,-0.013,-0.135
-0.1603,0.059,0.59
0.1542,0.086,0.86
0.0,-0.031,-0.313
0.2692,-0.075,-0.753
0.3004,0.029,0.294
0.1644,0.017,0.165
0.264,0.052,0.525
0.05,0.036,0.355
0.0815,0.027,0.268
0.0534,-0.028,-0.277
0.278,0.009,0.086
0.1222,0.038,0.375
0.2027,-0.012,-0.115
0.0953,0.06,0.599
0.1176,-0.049,-0.493
0.4695,0.047,0.469
0.2547,0.044,0.437
0.2847,0.066,0.664
0.1108,0.0,0.0
0.1702,0.084,0.838
0.0,0.012,0.121
-0.0255,-0.009,-0.088
0.0847,0.015,0.152
0.1858,0.136,1.361
0.1387,0.013,0.133
0.0804,-0.031,-0.308
0.1473,0.042,0.423
0.2673,0.026,0.256
-0.1869,0.053,0.531
0.1785,0.037,0.372
0.1085,0.033,0.326
0.1213,0.05,0.503
0.3626,-0.054,-0.538
0.0244,0.0,0.0
-0.0743,-0.017,-0.171
0.2714,0.034,0.34
0.2048,0.079,0.789
0.0,0.0,0.0
-0.0088,-0.1,-0.998
-0.0306,0.035,0.346
0.1264,0.0,0.0
0.2106,0.054,0.537
-0.0212,-0.009,-0.086
