#,Company,Symbol,Weight,      Price,Chg,% Chg
456,Qorvo Inc,QRVO,0.02783,   91.95,-2.17,(-2.30%)
457,Ceridian Hcm Holding Inc,CDAY,0.027573,   61.61,-1.28,(-2.03%)
458,Fox Corp Class A,FOXA,0.027528,   31.18,-0.18,(-0.56%)
459,Allegion Plc,ALLE,0.027453,   106.45,-1.42,(-1.31%)
460,Pentair Plc,PNR,0.027149,   55.93,-1.8,(-3.11%)
461,Juniper Networks Inc,JNPR,0.02705,   29.15,-0.18,(-0.61%)
462,Rollins Inc,ROL,0.026501,   39.88,0.04,-0.10%
463,American Airlines Group Inc,AAL,0.026352,   13.80,-0.28,(-1.95%)
464,Caesars Entertainment Inc,CZR,0.025718,   42.24,-0.01,(-0.02%)
465,Regency Centers Corp,REG,0.025527,   56.41,-1.15,(-2.00%)
466,Bath & Body Works Inc,BBWI,0.02515,   37.78,-0.73,(-1.90%)
467,Pinnacle West Capital,PNW,0.025007,   77.25,-0.4,(-0.52%)
468,F5 Inc,FFIV,0.024575,   142.73,-1.54,(-1.07%)
469,Smith (a.O.) Corp,AOS,0.024532,   66.36,-0.37,(-0.55%)
470,Dentsply Sirona Inc,XRAY,0.023586,   37.43,-0.62,(-1.64%)
471,Universal Health Services B,UHS,0.023396,   128.02,1.09,-0.85%
472,Bio Rad Laboratories A,BIO,0.023338,   373.49,-9.07,(-2.37%)
473,Huntington Ingalls Industrie,HII,0.023047,   202.03,-0.34,(-0.17%)
474,Nrg Energy Inc,NRG,0.022779,   33.71,-0.1,(-0.30%)
475,Hasbro Inc,HAS,0.022195,   60.65,-0.14,(-0.23%)
476,Paramount Global Class B,PARA,0.021573,   14.60,-0.33,(-2.18%)
477,Robert Half Intl Inc,RHI,0.021447,   68.35,-0.17,(-0.25%)
478,Generac Holdings Inc,GNRC,0.021052,   116.81,-0.75,(-0.63%)
479,Whirlpool Corp,WHR,0.020703,   132.09,-0.66,(-0.50%)
480,News Corp Class A,NWSA,0.020521,   18.25,-0.12,(-0.65%)
481,Westrock Co,WRK,0.020506,   27.90,-0.28,(-0.99%)
482,Boston Properties Inc,BXP,0.0205,   48.91,-1.95,(-3.83%)
483,Advance Auto Parts Inc,AAP,0.020253,   116.02,-0.76,(-0.65%)
484,Franklin Resources Inc,BEN,0.020007,   24.11,-0.26,(-1.07%)
485,Catalent Inc,CTLT,0.019765,   37.25,-0.88,(-2.31%)
486,Assurant Inc,AIZ,0.019731,   133.08,3.72,-2.88%
487,Invesco Ltd,IVZ,0.019616,   14.69,-0.37,(-2.46%)
488,Federal Realty Invs Trust,FRT,0.018786,   88.70,-0.69,(-0.77%)
489,Vf Corp,VFC,0.018039,   18.26,-0.72,(-3.77%)
490,Sealed Air Corp,SEE,0.017895,   39.67,-2.41,(-5.74%)
491,Norwegian Cruise Line Holdin,NCLH,0.017187,   14.18,-0.3,(-2.04%)
492,Dxc Technology Co,DXC,0.016193,   24.13,-0.48,(-1.93%)
493,Alaska Air Group Inc,ALK,0.015916,   44.12,-0.72,(-1.59%)
494,Davita Inc,DVA,0.015463,   96.47,-0.47,(-0.48%)
495,Comerica Inc,CMA,0.01526,   39.01,-1.47,(-3.63%)
496,Organon & Co,OGN,0.014916,   20.44,-0.19,(-0.92%)
497,Mohawk Industries Inc,MHK,0.014085,   93.75,-1.99,(-2.08%)
498,Ralph Lauren Corp,RL,0.012744,   108.48,0.52,-0.48%
499,Zions Bancorp Na,ZION,0.012692,   29.17,-0.22,(-0.75%)
500,Fox Corp Class B,FOX,0.011601,   28.89,-0.09,(-0.31%)
501,Newell Brands Inc,NWL,0.009745,   8.67,-0.35,(-3.88%)
502,Lincoln National Corp,LNC,0.009726,   21.11,-0.81,(-3.70%)
503,News Corp Class B,NWS,0.006472,   18.34,-0.13,(-0.70%)
504,Dish Network Corp A,DISH,0.004668,   6.23,-0.38,(-5.68%)
