#,Company,Symbol,Weight,      Price,Chg,% Chg
191,Iqvia Holdings Inc,IQV,0.107766,   197.28,-4.5,(-2.23%)
192,Paccar Inc,PCAR,0.107032,   70.96,-0.43,(-0.60%)
193,Copart Inc,CPRT,0.106599,   86.83,0.3,-0.35%
194,Aflac Inc,AFL,0.106415,   64.95,-1.09,(-1.65%)
195,Yum Brands Inc,YUM,0.106388,   130.82,-0.63,(-0.48%)
196,Msci Inc,MSCI,0.105761,   463.52,3.42,-0.74%
197,Hilton Worldwide Holdings In,HLT,0.105625,   136.94,-0.77,(-0.56%)
198,Hess Corp,HES,0.105429,   135.08,3.12,-2.37%
199,Dow Inc,DOW,0.105082,   51.36,-0.61,(-1.16%)
200,Welltower Inc,WELL,0.103438,   74.54,-1.64,(-2.15%)
201,Sysco Corp,SYY,0.1033,   71.30,0.5,-0.71%
202,Xcel Energy Inc,XEL,0.10318,   65.50,-0.1,(-0.14%)
203,Centene Corp,CNC,0.103127,   64.64,-0.39,(-0.60%)
204,Williams Cos Inc,WMB,0.102524,   29.53,0.15,-0.49%
205,On Semiconductor,ON,0.102394,   79.59,-2.95,(-3.57%)
206,Charter Communications Inc A,CHTR,0.102047,   335.50,-0.94,(-0.28%)
207,L3harris Technologies Inc,LHX,0.101122,   185.46,0.77,-0.42%
208,Ross Stores Inc,ROST,0.100969,   102.65,0.77,-0.76%
209,Paychex Inc,PAYX,0.100339,   110.65,1.8,-1.65%
210,Arista Networks Inc,ANET,0.100096,   140.38,-0.09,(-0.07%)
211,Carrier Global Corp,CARR,0.100056,   41.65,0.14,-0.34%
212,Nucor Corp,NUE,0.099718,   133.94,-2.98,(-2.18%)
213,Otis Worldwide Corp,OTIS,0.098852,   80.99,-1.25,(-1.53%)
214,Metlife Inc,MET,0.098186,   50.55,-1.29,(-2.49%)
215,Simon Property Group Inc,SPG,0.098001,   101.93,-2.2,(-2.11%)
216,Newmont Corp,NEM,0.09708,   41.72,-0.77,(-1.82%)
217,Verisk Analytics Inc,VRSK,0.096994,   215.51,-0.26,(-0.12%)
218,Ametek Inc,AME,0.096497,   144.22,-1.75,(-1.20%)
219,Consolidated Edison Inc,ED,0.095743,   93.75,-0.13,(-0.13%)
220,Dr Horton Inc,DHI,0.095268,   106.85,0.96,-0.91%
221,Fidelity National Info Serv,FIS,0.09514,   54.03,-1.76,(-3.15%)
222,Electronic Arts Inc,EA,0.093934,   127.42,2.13,-1.70%
223,Kinder Morgan Inc,KMI,0.093912,   16.52,-0.02,(-0.10%)
224,Resmed Inc,RMD,0.093713,   220.42,-2.13,(-0.96%)
225,Dollar Tree Inc,DLTR,0.093427,   156.12,-0.02,(-0.01%)
226,Cognizant Tech Solutions A,CTSH,0.092726,   62.60,-0.7,(-1.10%)
227,Illumina Inc,ILMN,0.092385,   212.57,8.2,-4.01%
228,Ppg Industries Inc,PPG,0.092167,   132.60,-4.28,(-3.13%)
229,Devon Energy Corp,DVN,0.092094,   49.65,0.54,-1.09%
230,Kroger Co,KR,0.091968,   49.80,0.7,-1.42%
231,Ameriprise Financial Inc,AMP,0.091846,   297.36,-3.04,(-1.01%)
232,Costar Group Inc,CSGP,0.091751,   79.23,0.73,-0.94%
233,Rockwell Automation Inc,ROK,0.091629,   270.44,-8.02,(-2.88%)
234,Vici Properties Inc,VICI,0.089822,   30.63,-0.46,(-1.48%)
235,Fastenal Co,FAST,0.089255,   54.43,0.11,-0.20%
236,Dupont De Nemours Inc,DD,0.088868,   65.62,-1.77,(-2.63%)
237,Allstate Corp,ALL,0.088597,   113.41,-2.85,(-2.45%)
238,Kraft Heinz Co,KHC,0.088281,   38.95,0.26,-0.67%
239,Public Service Enterprise Gp,PEG,0.087929,   60.81,-0.5,(-0.81%)
240,Cummins Inc,CMI,0.087842,   209.78,-6.2,(-2.87%)
241,Mettler Toledo International,MTD,0.086789,"   1,313.21",-42.4,(-3.13%)
242,Bank of New York Mellon Corp,BK,0.086645,   40.42,-0.72,(-1.74%)
243,Prudential Financial Inc,PRU,0.086494,   79.68,-2.11,(-2.57%)
244,Ww Grainger Inc,GWW,0.085571,   656.60,-3.04,(-0.46%)
245,Republic Services Inc,RSG,0.083944,   142.53,-0.17,(-0.12%)
246,Baker Hughes Co,BKR,0.081732,   29.01,0.61,-2.14%
247,Keysight Technologies In,KEYS,0.081191,   155.51,-1.98,(-1.26%)
248,Wec Energy Group Inc,WEC,0.080578,   88.28,-0.58,(-0.65%)
249,Ge Healthcare Technology,GEHC,0.080564,   77.02,-0.17,(-0.23%)
250,Halliburton Co,HAL,0.079827,   30.85,0.27,-0.88%
251,American Water Works Co Inc,AWK,0.079735,   143.25,-0.25,(-0.18%)
252,Amerisourcebergen Corp,ABC,0.079714,   168.82,-2.44,(-1.42%)
253,Constellation Energy,CEG,0.078994,   83.50,-0.54,(-0.64%)
254,Zimmer Biomet Holdings Inc,ZBH,0.078592,   127.63,-2.69,(-2.06%)
255,Old Dominion Freight Line,ODFL,0.078444,   298.27,-3.03,(-1.01%)
256,Lennar Corp A,LEN,0.078196,   108.40,1.3,-1.21%
257,Keurig Dr Pepper Inc,KDP,0.077928,   32.61,0.59,-1.86%
258,Arch Capital Group Ltd,ACGL,0.077779,   71.75,-1.42,(-1.95%)
259,Discover Financial Services,DFS,0.077776,   99.62,-2.28,(-2.23%)
260,Global Payments Inc,GPN,0.077092,   99.32,-2.48,(-2.44%)
261,Hp Inc,HPQ,0.076053,   30.13,-0.43,(-1.40%)
262,P G & E Corp,PCG,0.07593,   16.38,-0.03,(-0.18%)
263,Oneok Inc,OKE,0.075195,   58.16,-0.38,(-0.65%)
264,Ansys Inc,ANSS,0.074948,   298.95,0.15,-0.05%
265,Vulcan Materials Co,VMC,0.074586,   194.12,-1.08,(-0.55%)
266,Digital Realty Trust Inc,DLR,0.074425,   87.86,-2.57,(-2.85%)
267,Warner Bros Discovery Inc,WBD,0.074359,   11.65,-0.05,(-0.38%)
268,Edison International,EIX,0.07396,   66.60,-0.77,(-1.14%)
269,Equifax Inc,EFX,0.0738,   207.74,-2.32,(-1.11%)
270,Gartner Inc,IT,0.07372,   329.48,4.19,-1.29%
271,West Pharmaceutical Services,WST,0.073047,   345.10,2.29,-0.67%
272,Eversource Energy,ES,0.072934,   71.85,-0.9,(-1.24%)
273,Albemarle Corp,ALB,0.072741,   212.00,-4.07,(-1.88%)
274,Aptiv Plc,APTV,0.072015,   92.52,0.04,-0.04%
275,Sba Communications Corp,SBAC,0.071606,   224.32,-6.12,(-2.65%)
276,Martin Marietta Materials,MLM,0.071022,   395.23,-2.03,(-0.51%)
277,Ulta Beauty Inc,ULTA,0.070697,   480.52,-0.09,(-0.02%)
278,Avalonbay Communities Inc,AVB,0.070443,   172.90,-2.24,(-1.28%)
279,Diamondback Energy Inc,FANG,0.070312,   133.94,1.01,-0.76%
280,Tractor Supply Company,TSCO,0.06949,   215.79,-2.75,(-1.26%)
281,Cbre Group Inc A,CBRE,0.069121,   74.89,-1.24,(-1.63%)
